,Refund_not_showing_up,activate_my_card,age_limit,atm_support,automatic_top_up,balance_not_updated_after_bank_transfer,balance_not_updated_after_cheque_or_cash_deposit,beneficiary_not_allowed,cancel_transfer,card_about_to_expire,card_arrival,card_delivery_estimate,card_linking,card_swallowed,cash_withdrawal_not_recognised,change_pin,compromised_card,contactless_not_working,country_support,declined_cash_withdrawal,declined_transfer,direct_debit_payment_not_recognised,disposable_card_limits,edit_personal_details,failed_transfer,get_disposable_virtual_card,get_physical_card,getting_spare_card,getting_virtual_card,lost_or_stolen_card,lost_or_stolen_phone,oos,order_physical_card,passcode_forgotten,pending_card_payment,pending_cash_withdrawal,pending_top_up,pending_transfer,pin_blocked,receiving_money,terminate_account,top_up_by_bank_transfer_charge,top_up_by_cash_or_cheque,top_up_failed,top_up_limits,top_up_reverted,topping_up_by_card,transaction_charged_twice,transfer_fee_charged,transfer_into_account,transfer_not_received_by_recipient,transfer_timing,unable_to_verify_identity,verify_my_identity,verify_source_of_funds,verify_top_up,virtual_card_not_working,why_verify_identity,wrong_amount_of_cash_received
Refund_not_showing_up,62,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
activate_my_card,0,189,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
age_limit,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atm_support,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
automatic_top_up,0,0,0,0,151,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
balance_not_updated_after_bank_transfer,0,0,0,0,0,123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,1,0,0,19,36,0,0,0,0,0,0,0
balance_not_updated_after_cheque_or_cash_deposit,0,0,0,0,0,17,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beneficiary_not_allowed,0,0,0,0,0,2,0,104,0,0,0,0,0,0,0,0,0,1,0,0,42,0,0,0,30,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
cancel_transfer,0,0,0,0,0,0,0,1,170,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,4,0,0,0,0,0,0,0,5,0,7,0,1,1,0,0,0,0,0,0,0,0
card_about_to_expire,0,0,0,0,0,0,0,0,0,143,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
card_arrival,0,0,0,0,0,0,0,0,0,0,177,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
card_delivery_estimate,0,0,0,0,0,0,0,0,0,0,54,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
card_linking,0,3,0,0,0,0,0,0,0,1,0,0,156,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
card_swallowed,0,0,0,0,0,0,0,0,0,0,0,0,0,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cash_withdrawal_not_recognised,0,0,0,0,0,4,0,0,0,0,0,0,0,0,126,0,51,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
change_pin,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,147,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
compromised_card,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,114,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contactless_not_working,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,65,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
country_support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
declined_cash_withdrawal,0,0,0,7,0,1,0,0,0,0,0,0,0,2,23,0,0,1,0,167,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
declined_transfer,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,12,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
direct_debit_payment_not_recognised,1,0,0,0,0,1,0,0,1,0,0,0,0,0,30,0,10,0,0,0,0,163,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
disposable_card_limits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,9,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
edit_personal_details,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
failed_transfer,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,122,0,0,0,0,0,0,6,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
get_disposable_virtual_card,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,125,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
